Frequency (Hz)	Level (dB)
3972.875977	-60.814884
3983.642578	-55.863113
3994.409180	-59.078644
4005.175781	-62.438087
4015.942383	-63.760773
4026.708984	-64.451408
4037.475586	-65.614342
4048.242188	-66.656540
4059.008789	-68.152084
4069.775391	-68.550179
4080.541992	-67.835068
4091.308594	-66.520462
4102.075195	-66.376839
4112.841797	-64.929543
4123.608398	-63.969921
4134.375000	-63.389053
4145.141602	-62.803410
4155.908203	-65.793320
4166.674805	-66.572105
4177.441406	-65.841125
4188.208008	-66.507660
4198.974609	-66.699783
4209.741211	-66.374374
4220.507812	-66.114624
4231.274414	-66.458511
4242.041016	-66.591553
4252.807617	-66.610321
4263.574219	-65.836151
4274.340820	-65.632271
4285.107422	-66.532578
4295.874023	-66.887177
4306.640625	-66.465027
4317.407227	-64.181557
4328.173828	-61.957314
4338.940430	-62.522102
4349.707031	-64.614899
4360.473633	-64.657898
4371.240234	-64.209244
4382.006836	-64.435722
4392.773438	-64.911751
4403.540039	-63.100052
4414.306641	-63.511471
4425.073242	-66.746254
4435.839844	-67.776253
4446.606445	-66.499176
4457.373047	-66.711403
4468.139648	-65.648560
4478.906250	-63.208248
4489.672852	-61.291759
4500.439453	-63.236252
4511.206055	-66.324608
4521.972656	-63.916714
4532.739258	-63.622849
4543.505859	-66.402206
4554.272461	-68.243690
4565.039062	-69.073296
4575.805664	-68.984009
4586.572266	-67.296341
4597.338867	-65.873383
4608.105469	-65.443771
4618.872070	-65.522278
4629.638672	-66.216515
4640.405273	-67.316185
4651.171875	-67.486153
4661.938477	-67.147392
4672.705078	-67.689659
4683.471680	-67.669731
4694.238281	-65.728859
4705.004883	-62.733318
4715.771484	-60.512753
4726.538086	-58.915329
4737.304688	-60.132122
4748.071289	-64.491638
4758.837891	-66.806969
4769.604492	-66.984375
4780.371094	-66.303604
4791.137695	-65.606415
4801.904297	-65.028770
4812.670898	-64.270210
4823.437500	-63.766449
4834.204102	-65.491066
4844.970703	-66.299660
4855.737305	-67.101547
4866.503906	-68.160355
4877.270508	-68.232605
4888.037109	-67.759659
4898.803711	-68.003937
4909.570312	-67.721436
4920.336914	-63.323692
4931.103516	-61.903248
4941.870117	-65.886833
4952.636719	-67.125137
4963.403320	-67.037125
4974.169922	-65.516937
4984.936523	-64.359962
4995.703125	-65.732689
5006.469727	-67.205566
5017.236328	-67.908257
5028.002930	-67.292450
5038.769531	-66.905083
5049.536133	-67.169380
5060.302734	-67.246956
5071.069336	-67.458305
5081.835938	-67.004211
5092.602539	-66.222359
5103.369141	-64.384239
5114.135742	-63.589451
5124.902344	-64.691322
5135.668945	-64.669960
5146.435547	-66.380562
5157.202148	-65.365059
5167.968750	-63.692852
5178.735352	-65.454697
5189.501953	-66.009087
5200.268555	-66.099800
5211.035156	-66.369339
5221.801758	-66.370392
5232.568359	-65.614670
5243.334961	-65.349327
5254.101562	-66.281250
5264.868164	-66.014496
5275.634766	-65.277992
5286.401367	-64.629646
5297.167969	-63.532227
5307.934570	-62.701557
5318.701172	-61.125923
5329.467773	-60.344116
5340.234375	-62.430519
5351.000977	-65.323364
5361.767578	-66.261581
5372.534180	-66.121117
5383.300781	-65.992622
5394.067383	-66.144096
5404.833984	-65.766663
