Frequency (Hz)	Level (dB)
3820.312500	-53.792274
3843.750000	-54.255089
3867.187500	-53.207367
3890.625000	-52.977463
3914.062500	-50.640961
3937.500000	-47.963776
3960.937500	-46.910091
3984.375000	-45.895760
4007.812500	-44.499065
4031.250000	-46.197464
4054.687500	-48.397579
4078.125000	-52.877430
4101.562500	-54.824303
4125.000000	-55.271622
4148.437500	-54.893021
4171.875000	-53.353855
4195.312500	-52.079403
4218.750000	-50.626293
4242.187500	-50.336082
4265.625000	-51.056847
4289.062500	-52.174629
4312.500000	-53.594364
4335.937500	-54.472309
4359.375000	-54.616886
4382.812500	-54.482510
4406.250000	-53.269985
4429.687500	-51.251205
4453.125000	-49.461399
4476.562500	-50.078812
4500.000000	-52.205082
4523.437500	-54.603500
4546.875000	-56.752384
4570.312500	-58.554203
4593.750000	-59.631443
4617.187500	-56.797577
4640.625000	-53.513126
4664.062500	-51.536518
4687.500000	-50.485283
4710.937500	-50.279358
4734.375000	-49.033501
4757.812500	-50.969112
4781.250000	-52.873875
4804.687500	-52.565975
4828.125000	-52.960335
4851.562500	-55.411942
4875.000000	-57.892063
4898.437500	-57.874115
4921.875000	-54.685951
4945.312500	-51.455803
4968.750000	-51.925911
4992.187500	-53.190186
5015.625000	-53.603718
5039.062500	-55.042679
5062.500000	-56.470482
5085.937500	-57.894966
5109.375000	-59.179276
5132.812500	-59.263355
5156.250000	-58.829800
5179.687500	-58.416111
5203.125000	-57.647434
5226.562500	-53.456520
5250.000000	-51.547840
5273.437500	-51.707962
5296.875000	-51.030945
5320.312500	-51.447479
5343.750000	-51.420990
5367.187500	-53.621365
5390.625000	-56.563389
5414.062500	-57.756313
5437.500000	-57.696095
5460.937500	-57.383030
5484.375000	-57.320194
5507.812500	-55.844578
5531.250000	-55.558723
5554.687500	-56.305702
5578.125000	-55.077538
5601.562500	-55.182838
5625.000000	-56.681213
5648.437500	-56.020969
5671.875000	-57.226681
5695.312500	-58.797318
5718.750000	-57.804821
5742.187500	-57.110645
5765.625000	-56.720791
5789.062500	-56.489414
5812.500000	-58.200222
5835.937500	-59.465607
5859.375000	-59.372650
5882.812500	-58.242237
5906.250000	-56.165363
5929.687500	-54.939350
5953.125000	-55.939129
5976.562500	-56.252800
6000.000000	-55.168026
6023.437500	-54.995445
6046.875000	-56.455303
6070.312500	-58.329624
6093.750000	-59.669292
6117.187500	-61.757587
6140.625000	-63.119286
6164.062500	-63.111462
6187.500000	-62.290295
6210.937500	-59.982597
6234.375000	-58.476574
6257.812500	-59.148449
6281.250000	-59.967556
6304.687500	-60.622433
6328.125000	-61.553970
6351.562500	-59.956329
6375.000000	-59.550728
6398.437500	-60.127449
6421.875000	-60.898308
6445.312500	-60.262039
6468.750000	-60.337776
6492.187500	-60.992233
6515.625000	-59.271214
6539.062500	-59.215164
6562.500000	-60.989864
6585.937500	-61.491783
6609.375000	-60.605236
6632.812500	-59.675606
6656.250000	-57.962147
6679.687500	-57.308167
6703.125000	-58.856243
6726.562500	-60.709160
6750.000000	-61.539173
6773.437500	-62.682713
6796.875000	-63.732059
6820.312500	-64.354179
6843.750000	-65.127640
6867.187500	-66.039513
6890.625000	-66.211441
6914.062500	-65.765564
6937.500000	-65.342651
6960.937500	-64.815895
6984.375000	-64.205589
7007.812500	-63.917664
7031.250000	-63.392914
7054.687500	-62.368965
7078.125000	-62.369759
7101.562500	-61.956402
7125.000000	-61.261562
7148.437500	-61.398735
7171.875000	-62.498314
7195.312500	-63.061470
7218.750000	-63.533852
7242.187500	-63.920837
7265.625000	-64.130432
7289.062500	-64.350235
7312.500000	-64.945366
7335.937500	-64.291283
7359.375000	-63.810703
7382.812500	-64.817574
7406.250000	-65.473755
7429.687500	-65.690437
7453.125000	-65.952187
7476.562500	-65.453789
7500.000000	-65.476288
7523.437500	-66.218338
7546.875000	-66.071312
7570.312500	-66.117180
7593.750000	-66.878815
7617.187500	-67.964111
7640.625000	-68.361061
7664.062500	-67.450485
7687.500000	-66.170731
7710.937500	-66.419952
7734.375000	-67.011040
7757.812500	-66.463539
7781.250000	-66.093384
7804.687500	-65.035645
7828.125000	-63.708145
7851.562500	-62.662975
7875.000000	-61.707512
7898.437500	-62.864277
7921.875000	-63.810093
7945.312500	-63.341129
7968.750000	-64.591423
7992.187500	-63.885735
8015.625000	-64.021538
8039.062500	-64.198158
8062.500000	-65.035088
8085.937500	-64.498436
8109.375000	-65.648918
8132.812500	-65.502678
8156.250000	-62.682369
8179.687500	-61.441486
8203.125000	-62.668510
8226.562500	-63.864494
8250.000000	-64.544144
8273.437500	-64.532814
8296.875000	-65.087311
8320.312500	-65.570343
8343.750000	-65.935173
8367.187500	-66.061806
8390.625000	-65.098289
8414.062500	-64.775589
8437.500000	-64.376175
8460.937500	-64.812668
8484.375000	-66.042473
8507.812500	-67.028519
8531.250000	-68.027306
8554.687500	-68.777451
8578.125000	-69.442711
8601.562500	-69.792137
8625.000000	-70.165085
8648.437500	-69.886780
