Frequency (Hz)	Level (dB)
2713.183594	-43.932941
2734.716797	-44.049438
2756.250000	-43.669491
2777.783203	-43.871662
2799.316406	-43.254696
2820.849609	-42.698521
2842.382812	-43.733990
2863.916016	-45.231686
2885.449219	-45.995739
2906.982422	-45.897064
2928.515625	-44.218800
2950.048828	-40.546970
2971.582031	-37.949501
2993.115234	-36.931007
3014.648438	-38.604706
3036.181641	-42.645802
3057.714844	-48.491020
3079.248047	-50.025158
3100.781250	-46.077621
3122.314453	-44.583057
3143.847656	-45.348488
3165.380859	-45.834816
3186.914062	-47.151642
3208.447266	-49.184784
3229.980469	-48.899048
3251.513672	-47.931328
3273.046875	-48.569923
3294.580078	-49.521076
3316.113281	-45.390842
3337.646484	-41.293358
3359.179688	-40.789032
3380.712891	-42.509502
3402.246094	-46.245567
3423.779297	-48.079811
3445.312500	-48.939480
3466.845703	-47.259003
3488.378906	-45.534084
3509.912109	-44.029377
3531.445312	-43.688095
3552.978516	-43.709919
3574.511719	-43.722301
3596.044922	-44.112095
3617.578125	-45.801800
3639.111328	-49.470490
3660.644531	-51.785988
3682.177734	-51.424782
3703.710938	-50.113434
3725.244141	-48.744865
3746.777344	-48.968292
3768.310547	-50.412010
3789.843750	-52.355064
3811.376953	-53.903458
3832.910156	-54.629543
3854.443359	-53.668636
3875.976562	-53.198891
3897.509766	-52.630177
3919.042969	-49.979824
3940.576172	-47.394421
3962.109375	-46.291260
3983.642578	-45.185684
4005.175781	-44.257320
4026.708984	-45.794819
4048.242188	-48.400421
4069.775391	-52.699615
4091.308594	-54.799400
4112.841797	-55.337894
4134.375000	-55.216129
4155.908203	-54.583012
4177.441406	-54.035038
4198.974609	-53.306793
4220.507812	-52.186306
4242.041016	-52.276169
4263.574219	-52.841991
4285.107422	-54.073910
4306.640625	-54.963051
4328.173828	-55.476276
4349.707031	-55.381618
4371.240234	-55.344685
4392.773438	-54.351963
4414.306641	-52.772919
4435.839844	-50.239315
4457.373047	-49.388504
4478.906250	-49.577835
4500.439453	-51.165268
4521.972656	-53.979057
4543.505859	-56.577419
4565.039062	-57.857212
4586.572266	-58.892216
4608.105469	-58.187393
4629.638672	-55.562473
4651.171875	-52.902241
4672.705078	-51.055573
4694.238281	-50.976116
4715.771484	-50.482124
4737.304688	-49.759117
4758.837891	-50.577312
4780.371094	-51.628315
4801.904297	-52.951000
4823.437500	-53.842251
4844.970703	-55.864506
4866.503906	-58.256920
4888.037109	-58.495686
4909.570312	-58.360008
4931.103516	-54.763756
4952.636719	-52.682491
4974.169922	-53.471931
4995.703125	-53.972134
5017.236328	-54.327122
5038.769531	-55.481918
5060.302734	-57.105179
5081.835938	-58.557507
5103.369141	-60.094967
5124.902344	-60.625996
5146.435547	-60.128990
5167.968750	-59.071259
5189.501953	-58.278275
5211.035156	-55.774940
5232.568359	-52.646145
5254.101562	-51.766312
5275.634766	-52.505463
5297.167969	-52.590858
5318.701172	-52.361927
5340.234375	-52.144356
5361.767578	-53.476616
5383.300781	-55.236504
5404.833984	-56.688675
5426.367188	-57.618904
5447.900391	-58.803463
5469.433594	-58.449020
5490.966797	-57.663219
5512.500000	-55.648079
5534.033203	-54.943985
5555.566406	-55.208107
5577.099609	-55.230370
5598.632812	-55.700237
5620.166016	-56.873325
5641.699219	-57.192417
5663.232422	-57.570244
5684.765625	-59.491543
5706.298828	-59.243870
5727.832031	-58.639030
5749.365234	-58.654675
5770.898438	-58.073677
5792.431641	-58.324940
5813.964844	-59.903786
5835.498047	-60.298580
5857.031250	-59.541874
5878.564453	-57.915314
5900.097656	-55.960747
5921.630859	-54.702480
5943.164062	-54.925076
5964.697266	-54.460278
5986.230469	-53.673164
6007.763672	-52.948395
6029.296875	-54.559906
6050.830078	-57.457779
6072.363281	-59.498383
6093.896484	-60.722328
6115.429688	-62.400928
6136.962891	-63.424076
6158.496094	-63.201782
6180.029297	-62.577888
6201.562500	-60.545879
6223.095703	-58.601723
6244.628906	-58.546917
6266.162109	-59.086662
6287.695312	-59.125134
6309.228516	-58.738018
6330.761719	-58.571888
6352.294922	-58.445641
6373.828125	-58.353897
6395.361328	-59.510956
6416.894531	-60.516182
6438.427734	-60.677475
6459.960938	-60.003757
6481.494141	-60.149754
6503.027344	-59.512039
6524.560547	-59.144764
6546.093750	-60.430656
6567.626953	-61.501678
6589.160156	-61.219406
6610.693359	-60.589626
6632.226562	-59.512543
6653.759766	-58.686604
6675.292969	-58.372028
6696.826172	-59.586571
6718.359375	-60.646362
6739.892578	-60.722221
6761.425781	-61.452290
6782.958984	-63.004200
6804.492188	-64.388443
6826.025391	-64.932465
6847.558594	-65.488014
6869.091797	-65.992760
6890.625000	-66.033272
6912.158203	-65.664932
6933.691406	-64.674583
6955.224609	-64.558884
6976.757812	-64.054298
6998.291016	-63.139927
7019.824219	-62.624874
7041.357422	-62.687859
7062.890625	-61.911270
7084.423828	-61.322639
7105.957031	-60.109779
7127.490234	-60.001808
7149.023438	-60.026451
7170.556641	-60.407612
7192.089844	-61.580940
7213.623047	-62.812901
7235.156250	-63.829082
7256.689453	-64.604477
7278.222656	-65.115738
7299.755859	-64.837631
7321.289062	-64.254990
7342.822266	-63.695824
7364.355469	-64.742157
7385.888672	-66.021423
7407.421875	-66.137619
7428.955078	-66.139374
7450.488281	-65.395645
7472.021484	-64.529274
7493.554688	-64.458420
7515.087891	-65.046074
7536.621094	-66.096619
7558.154297	-66.379021
7579.687500	-66.693024
7601.220703	-67.287109
7622.753906	-67.857178
7644.287109	-67.986427
7665.820312	-67.739853
7687.353516	-67.095337
7708.886719	-67.109077
7730.419922	-67.390747
7751.953125	-66.987679
7773.486328	-66.575539
7795.019531	-66.276321
7816.552734	-65.292221
7838.085938	-64.496086
7859.619141	-63.485832
7881.152344	-62.854542
7902.685547	-63.144604
7924.218750	-62.806892
7945.751953	-62.571964
7967.285156	-62.847866
7988.818359	-62.783947
8010.351562	-63.843925
8031.884766	-64.440613
8053.417969	-65.266922
8074.951172	-65.055176
8096.484375	-65.493752
8118.017578	-66.784050
8139.550781	-65.993660
8161.083984	-63.885098
8182.617188	-63.009472
8204.150391	-62.709389
8225.683594	-61.993042
8247.216797	-62.940250
8268.750000	-63.687237
8290.283203	-64.490883
8311.816406	-65.310265
8333.349609	-65.559120
8354.882812	-65.142540
8376.416016	-65.504402
8397.949219	-65.681198
8419.482422	-65.847954
8441.015625	-65.552315
8462.548828	-66.152634
8484.082031	-67.142044
8505.615234	-67.997200
8527.148438	-68.823746
8548.681641	-68.877670
8570.214844	-69.420204
8591.748047	-70.631798
8613.281250	-70.672882
8634.814453	-69.949409
8656.347656	-68.084152
8677.880859	-66.335045
8699.414062	-66.047783
8720.947266	-67.046539
